Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
TGO,Togo,32416,Press Freedom Index,Total,31.5,27.5,19.5,23.75,15,15.17,10,15.5,17,NA,NA,28.45,29,28.5,30.31,NA,30.75,30.23
TON,Tonga,32416,Press Freedom Index,Total,,,38.17,14.5,13,38.25,18,NA,23.75,NA,NA,NA,26.7,23.37,21.24,NA,24.97,25.68
TTO,Trinidad and Tobago,32416,Press Freedom Index,Total,,1,2,2,5,5,6.13,7,8.5,NA,NA,23.12,23.28,22.39,23.29,NA,20.62,22.79
TUN,Tunisia,32416,Press Freedom Index,Total,67.8,50.83,62.67,57.5,53.75,57,48.1,61.5,72.5,NA,NA,39.93,38.69,38.68,31.6,NA,32.22,30.91
TUR,Turkey,32416,Press Freedom Index,Total,33.5,35,37.25,25,25,31.25,22.75,38.25,49.25,NA,NA,46.56,45.87,44.16,50.76,NA,52.98,53.5
UGA,Uganda,32416,Press Freedom Index,Total,17,25.75,24,19.25,29.83,28,26,21.5,25.5,NA,NA,31.69,33.29,31.65,32.58,NA,35.94,36.77
UKR,Ukraine,32416,Press Freedom Index,Total,40,40,51,32.5,26.5,26.75,19.25,22,46.83,NA,NA,36.79,36.93,39.1,32.93,NA,33.19,31.16
ARE,United Arab Emirates,32416,Press Freedom Index,Total,,37,50.25,25.75,17.5,20.25,14.5,21.5,23.75,NA,NA,33.49,36.03,36.73,36.73,NA,39.39,40.86
GBR,United Kingdom,32416,Press Freedom Index,Total,6,4.25,6,5.17,6.5,8.25,5.5,4,6,NA,NA,16.89,19.93,20,21.7,NA,22.26,23.25
USA,United States,32416,Press Freedom Index,Total,4.8,6,4,9.5,13,14.5,8,4,6.75,NA,NA,18.22,23.49,24.41,22.49,NA,23.88,23.73
URY,Uruguay,32416,Press Freedom Index,Total,6,4,10,9.75,13.75,11.75,8.33,7.63,11.75,NA,NA,15.92,16.08,15.94,15.88,NA,17.43,15.56
UZB,Uzbekistan,32416,Press Freedom Index,Total,45,61.5,52.13,66.5,71,74.88,62.7,67.67,71.5,NA,NA,60.39,61.01,61.14,61.15,NA,66.11,60.84
VEN,"Venezuela, RB",32416,Press Freedom Index,Total,25,27.83,24.63,23,29,36.88,27.33,39.5,47.33,NA,NA,34.44,35.37,40.61,44.77,NA,42.94,46.03
VNM,Vietnam,32416,Press Freedom Index,Total,81.3,89.17,86.88,73.25,67.25,79.25,86.17,81.67,75.75,NA,NA,71.78,72.36,72.63,74.27,NA,73.96,75.05
